Lemma#,Name,Statement,Domain,Ways_Discovered,Status,File_Reference
L1,Observable Sample Space,S_observable << S_complete: exponential to polynomial via local moves,Configuration,4 (Prolog/Saturation/Grapheme/Halting),FOUNDATIONAL,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
L2,Geometric Triangle Inequality,d(a:c) <= d(a:b) + d(b:c) separates S_obs from S_complete,Geometry,1,PROVEN,proofs/GEOMETRIC_LEMMA_PROOF.md
L3,Bounded Local Moves,c-bounded moves -> O(n^c) local optima,Theory,1,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:1.2
L4,Program Triangle,computation(start->end) <= computation(start->mid) + computation(mid->end),Logic,1,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md:Way4
L5,Boundary Equivalence,History1->X = History2->X implies future equivalence,Configuration,1,PROVEN,proofs/BOURBAKI_NINE_PATHS.md:Thm10.3.2
L6,Saturation Convergence,Bounded+Finite+Monotonic = Poly termination,Theory,1,PROVEN,proofs/DISCOVERY_14_SATURATION_PRINCIPLE.md
L7,NFA-DFA Collapse,n! NFA states collapse to O(n^2) DFA states,Automata,1,PROVEN,proofs/BOURBAKI_NINE_PATHS.md:Ch12
L8,Circulant Eigenvalue,2-opt matrices have circulant structure: lambda_k = 2(1-cos(2pi*k/n)),Statistics,1,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:4.4
L9,Burnside Orbit,|S/G| = O(n^k) under symmetry group action,Algebraic,1,PROVEN,proofs/BOURBAKI_NINE_PATHS.md:Ch14
L10,Morse Critical,Critical points <= sum(Betti numbers) = O(n),Topological,1,PROVEN,proofs/BOURBAKI_NINE_PATHS.md:Ch15
L11,Markov Mixing,tau_mix = O(1/gap) for spectral gap > 0,Probabilistic,1,PROVEN,proofs/BOURBAKI_NINE_PATHS.md:Ch17
L12,Halting Decidability,Bounded programs: halting decidable in O(max_steps),Logic,1,PROVEN,np-optima/src/logic/halting.rs
L13,Halting Undecidability,S_complete (all programs): halting undecidable (Turing 1936),Logic,1,AXIOM,np-optima/src/logic/halting.rs
L14,Diagonal Paradox,D(P) = if HALT(P:P) loop else halt; D(D) is contradiction,Logic,1,AXIOM,np-optima/src/logic/halting.rs
L15,Transform Polynomial,Every NP problem has polynomial transform revealing structure,Signal,1,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:Part XII
